trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,16,11.44817519537839,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.43823499246494924}",20,8,6.814973166724505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-35.408496280507784,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.43387448143299095}",20,0,-39.327675107778646,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,0,-81.60584107483602,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.4295573582107392}",20,10,11.867280472853427,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,6,0.013155549073977202,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,6,-20.56589342366999,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,0,-31.223516499630705,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.4210515526273212}",20,7,7.017580823838423,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-78.91272491381967,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.41686201967850844}",35,21,-36.54079648534524,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,6,9.378436014485066,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.4127141732790497}",20,13,-10.744218216785946,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,12,17.502103084284244,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40860759864084845}",30,16,-62.42996762651612,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,8,0.6814808971942945,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4045418851030188}",25,6,29.208165984588987,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,7,-6.449344741036375,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
